crefo	date	node
3230012865	2016-04-22T07:59:53Z	Environment-/Eco-Norm DIN EN ISO 14001
3230012865	2016-10-09T21:07:36Z	Umwelt-/Öko-Norm DIN EN ISO 14001:2004
6050108507	2016-04-24T19:36:05Z	Klimaschutz mit Nussschalen
6050108507	2016-04-24T19:36:05Z	Schalen von Cashew- und Kokosnüssen läuteten im November 2014 eine grüne Zeitenwende im Merck-Standort Goa in Indiens ein. Die Abfälle erzeugen im Biomassekraftwerk klimaneutral Strom.
6050108507	2016-01-26T15:34:56Z	Klimaschutz
6050108507	2016-04-08T04:34:50Z	Am Merck-Standort Goa haben wir im November 2014 ein klimaneutrales Biomassekraftwerk mit einer Leistung von drei Megawatt in Betrieb genommen. Das Blockheizkraftwerk erzeugt Strom und Dampf für die Pharma- und Chemiebetriebe und macht den Standort unabhängig von der öffentlichen Stromversorgung. Die Schalen regional angebauter Cashew- und Kokosnüsse fallen nach der Ernte als Abfall an. Merck kauft diese Schalen und verwertet sie als Biomasse-Brennstoff. Insgesamt können so jährlich rund 11.500 Tonnen Kohlenstoffdioxid eingespart werden, was rund 85% der gesamten CO2-Emissionen des Standorts entspricht.
6050108507	2016-04-08T04:34:50Z	In Klimaschutz investieren
6050108507	2016-02-15T09:26:50Z	Der Klimawandel und seine Folgen beeinflussen bereits heute das Leben auf der Erde. Als verantwortungsvolles Unternehmen ist es für uns eine Selbstverständlichkeit, einen Beitrag zur Reduzierung der Treibhausgasemissionen zu leisten. Im Jahr 2009 haben wir uns das Ziel gesetzt, unsere direkten und indirekten Treibhausgasemissionen bis 2020 gemessen am Stand von 2006 um 20 Prozent zu senken. Da der Großteil unserer Treibhausgasemissionen und unseres Energiebedarfs in der Produktion anfällt, wollen wir insbesondere hier die Energieeffizienz erhöhen und prozessbedingte Emissionen verringern. Unter dem Namen EDISON haben wir im Jahr 2009 ein umfassendes Klimaschutzprogramm gestartet. Mit den rund 300
6050108507	2016-05-04T11:17:28Z	Unter dem Namen EDISON haben wir im Jahr 2009 ein umfassendes Klimaschutzprogramm gestartet. Wir haben uns zum Ziel gesetzt, unsere Treibhausgas-Emissionen bis 2020 um 20% im Vergleich zu 2006 zu reduzieren. Besonders in der Produktion wollen wir die Energieeffizienz erhöhen sowie prozessbedingte Emissionen verringern. Seit 2012 haben wir konzernweit bereits mehr als 400 Maßnahmen angestoßen oder umgesetzt; dies entspricht etwa 60% der im Rahmen von EDISON geplanten Projekte. Mittelfristig werden wir damit rund 90.000 Tonnen CO
2030194842	2016-11-05T13:10:22Z	Forschung für CO2-freie Turbinen
