crefo	date	node
3230012865	2014-08-03T02:12:08Z	Umwelt-/Öko-Norm DIN EN ISO 14001:2004
6050108507	2014-12-29T17:27:06Z	Zertifizierung nach DIN EN ISO 14001
6050108507	2014-01-30T09:29:42Z	An unserem indischen Produktionsstandort Goa bauen wir derzeit ein Kraftwerk, das klimaneutrale Biomasse...
6050108507	2014-01-30T09:29:42Z	An unserem indischen Produktionsstandort Goa bauen wir derzeit ein Kraftwerk, das klimaneutrale Biomasse als Brennstoff nutzen wird. In der Region werden Cashew- und Kokosnüsse angebaut. Die Schalen dieser Früchte fallen nach der Ernte als Abfall an. Merck wird diese Schalen aufkaufen und als Biomasse verwerten. Ab dem Jahr 2015 können so jährlich rund 11.000 Tonnen Kohlenstoffdioxid eingespart werden.
6050108507	2014-12-29T17:27:37Z	Wir wollen bei der Herstellung unserer Produkte die Umwelt möglichst wenig beeinflussen. Sicherheit, Umweltschutz und Qualitätsmanagement sind dafür unabdingbar. Der Fokus unserer konzernweiten Maßnahmen liegt auf dem Klimaschutz: Im Jahr 2009 haben wir uns das Ziel gesetzt, unsere gesamten direkten und indirekten Treibhausgasemissionen bis 2020 um 20 Prozent zu senken – gemessen am Stand von 2006.
6050108507	2014-12-29T17:27:37Z	Klimaschutz ist eine der größten Herausforderungen der Gegenwart und Zukunft. Der Klimawandel und seine Folgen beeinflussen bereits heute das Leben auf der Erde.
6050108507	2014-12-29T17:27:37Z	Ein Großteil unserer Treibhausgasemissionen und unseres Energiebedarfs fällt in der Produktion an. Daher wollen wir insbesondere hier die Energieeffizienz erhöhen und prozessbedingte Emissionen verringern. Unter dem Namen EDISON haben wir im Jahr 2009 ein umfassendes Klimaschutzprogramm gestartet. Mit rund 200 EDISON-Maßnahmen, die in den vergangenen beiden Jahren angestoßen wurden, will Merck mittelfristig rund 52 Kilotonnen CO2 jährlich einsparen.
6050108507	2014-12-29T17:27:37Z	In Goa in Indien wird derzeit ein Kraftwerk gebaut, das klimaneutrale Biomasse als Brennstoff nutzen wird. In der Region werden Cashew- und Kokosnüsse angebaut. Die Schalen dieser Früchte fallen nach der Ernte als Abfall an. Merck wird diese Schalen aufkaufen und als Biomasse verwerten. Ab dem Jahr 2015 können so jährlich rund 11.500 Tonnen Kohlenstoffdioxid eingespart werden. Der Standort wird zudem unabhängig von der öffentlichen Stromversorgung und CO2-neutral sein.
6050108507	2014-12-29T17:27:37Z	In Klimaschutz investieren
2030194842	2014-01-14T20:10:50Z	Im Januar 2010 drehten sich allein in Deutschland Windkraftanlagen mit einer installierten Leistung von 25.777 Megawatt. Knapp acht Prozent des deutschen Bruttostromverbrauchs kann so klimaneutral gedeckt werden. Da die windstarken Flächen an Land beschränkt sind, drängen große und kleine Stromerzeuger nun auf das offene Meer. Doch sind Offshore-Windparks tatsächlich viel effizienter?
