crefo	date	node
3230012865	2013-01-26T08:02:04Z	Umwelt-/Öko-Norm DIN EN ISO 14001:2004
6050108507	2013-08-15T21:17:23Z	Zertifizierung nach DIN EN ISO 14001
6050108507	2013-08-10T08:58:17Z	In Klimaschutz investieren
2030194842	2013-03-14T00:21:39Z	Im Januar 2010 drehten sich allein in Deutschland Windkraftanlagen mit einer installierten Leistung von 25.777 Megawatt. Knapp acht Prozent des deutschen Bruttostromverbrauchs kann so klimaneutral gedeckt werden. Da die windstarken Flächen an Land beschränkt sind, drängen große und kleine Stromerzeuger nun auf das offene Meer. Doch sind Offshore-Windparks tatsächlich viel effizienter?
2030194842	2013-03-14T00:21:39Z	Bis zum Jahr 2016 sollte in der arabischen Wüste die erste klimaneutrale Stadt der Welt, Masdar City, entstehen. 50.000 Menschen sollen dann in Masdar-City ihre Energie vor allem aus Solarkraftwerken beziehen, sich mit Elektromobilen zwischen intelligent gebauten Häusern bewegen und ihren Müll komplett recyceln. Doch vereinzelte Rücktritte von Masdar-Managern nähren nun Gerüchte, dass das ambitionierte Projekt im wahrsten Sinne des Wortes im Sande verlaufen könnte. Waren die Ziele für das 22-Milliarden-Dollar-Projekt zu hoch gesteckt?
2030194842	2013-06-28T19:55:03Z	Sowohl Strom als auch Wärme lassen sich mit Geothermie-Kraftwerken im Prinzip günstig und klimaneutral gewinnen. Doch dieser Energieschatz schlummert schwer zugänglich im Untergrund. Im Durchschnitt nimmt die Temperatur nur moderat mit der Tiefe zu: etwa drei Grad pro 100 Meter. Aber an einigen Orten auf der Erde gelangt durch besondere geologische Bedingungen mehr Erdwärme bis an die Oberfläche. Das vulkanisch aktive Island ist ein Paradebeispiel. So deckt im Untergrund aufgeheiztes und verdampftes Wasser, das in geothermischen Kraftwerken über einen Wärmetauscher die Turbinen antreibt, mehr als die Hälfte des Strombedarfs der Atlantikinsel. Sogar etwa 90 Prozent der isländischen Haushalte werden mit Erdwärme beheizt.
5170001738	2013-01-22T06:12:20Z	Am 20.07.2012 war die rheinlandpfälzische Ministerin für Wirtschaft, Klimaschutz, Energie und Landesplanung im Rahmen ihrer Sommerreise zu Besuch bei Sibelco Deutschland. Unter der Zielsetzung, direkt vor Ort bei den Unternehmen zu erfahren, was die Wirtschaft im Land bewegt, verschaffte sie sich bei dem im Westerwald ansässigen Rohstoffunternehmen einen Überblick.
5170246136	2013-10-22T16:35:38Z	Steuler honours its obligation with respect to future generations and uses natural resources responsibly. Our dedication to quality and protecting the environment determine our corporate activities. Consequently, we are committed to energy management, participate in numerous quality certification processes and support the sustainability initiative of the chemical industry. With our certification according to ISO 14001, we regularly demonstrate the continuous further development and enhancement of our environmental commitment. The careful selection of high-quality raw materials in accordance with strict codices is for us a matter of course. With our certification according to the Safety Checklist for Contractors (SCC) we ensure that we are a reliable partner for our customers and on construction sites, also in the fields of health, safety and environmental protection.
5170246136	2013-10-27T12:11:51Z	Steuler steht zu seiner Verpflichtung gegenüber nachfolgenden Generationen und setzt die natürlichen Ressourcen verantwortungsvoll ein. Das Bekenntnis zur Qualität und der Schutz der Umwelt bestimmen unser unternehmerisches Handeln. Deshalb verpflichten wir uns zum Energiemanagement, nehmen an zahlreichen Qualitäts-Zertifizierungen teil und unterstützen die Nachhaltigkeitsinitiative der chemischen Industrie. Mit der Zertifizierung nach ISO 14001 weisen wir regelmäßig die kontinuierliche Weiterentwicklung unseres Umweltmanagementsystems und die Verbesserung unserer Umweltleistung nach. Die sorgfältige Auswahl hochwertiger Rohstoffe und deren Beschaffung unter Beachtung strenger Kodizes sind für uns selbstverständlich. Mit der Zertifizierung nach der SCC Checkliste (Sicherheits Certifikat Contraktoren ) stellen wir sicher, dass wir für unsere Kunden und auf Baustellen ein zuverlässiger Partner auch im Bereich Sicherheit, Gesundheit und Umweltschutz sind.
2150931053	2013-10-30T06:39:23Z	Quest II is our latest initiative to maintain cargo quality, and at same time reduce CO2 emissions from our reefer containers. It is new software developed to control the refrigeration system on Maersk Line’s reefers. Quest II is unique to Maersk. Applying Quest II to all Maersk Line existing and new build reefers assist to improve our client's carbon footprint from transportation. It is a simple act with high impact.
