crefo	date	node
3230012865	2017-05-05T03:48:47Z	Umwelt-/Öko-Norm DIN EN ISO 14001:2004
6050108507	2017-01-10T02:01:33Z	Klimaschutz
6050108507	2017-05-06T12:19:12Z	Zertifizierung nach DIN EN ISO 14001
6050108507	2017-01-10T02:02:10Z	Unter dem Namen EDISON haben wir im Jahr 2009 ein umfassendes Klimaschutzprogramm gestartet. Wir haben uns zum Ziel gesetzt, unsere Treibhausgas-Emissionen bis 2020 um 20% im Vergleich zu 2006 zu reduzieren. Besonders in der Produktion wollen wir die Energieeffizienz erhöhen sowie prozessbedingte Emissionen verringern. Seit 2012 haben wir konzernweit bereits mehr als 400 Maßnahmen angestoßen oder umgesetzt; dies entspricht etwa 60% der im Rahmen von EDISON geplanten Projekte. Mittelfristig werden wir damit rund 90.000 Tonnen CO
2030194842	2017-04-08T01:07:38Z	Forschung für CO2-freie Turbinen
7290012705	2017-07-14T08:50:44Z	Im Jahr 2008 wurde das Qualitätsmanagement nach DIN EN ISO 9001:2008 eingeführt und die alte EMAS-Zertifizierung durch das international anerkannte Umweltmanagementsystem nach DIN EN ISO 14001:2005 abgelöst.
7290012705	2017-04-26T22:31:30Z	Püttlinger Naturkompost für den Klimaschutz / Umwelt-Ressourcen schonen
7290012705	2017-04-26T22:31:30Z	Beim Klimaschutz hilft das lebende Moor, weil es pro Hektar ca. zwei Tonnen Kohlendioxid dauerhaft verschlucken kann.
7290012705	2017-04-26T22:31:30Z	In den letzten 60 Jahren wurden auf dem Gebiet der  Bundesrepublik Deutschland 90 Prozent der Hochmoorflächen durch  Torfabbau und Trockenlegung vernichtet. Bei gleich bleibendem  Abbauvolumen sind die heimischen Torfvorräte in den nächsten Jahrzehnten  erschöpft. Daher wird mittlerweile der Torf aus Osteuropa importiert.  Durch die sehr langen Transportwege kann dies wohl kaum sinnvoll für den  Klimaschutz sein.
6170064079	2017-10-02T08:22:54Z	KMU-innovativ: Ressourceneffizienz und Klimaschutz
5170246136	2017-10-09T20:49:44Z	Steuler steht zu seiner Verpflichtung gegenüber nachfolgenden Generationen und setzt die natürlichen Ressourcen verantwortungsvoll ein. Das Bekenntnis zur Qualität und der Schutz der Umwelt bestimmen unser unternehmerisches Handeln. Deshalb verpflichten wir uns zum Energiemanagement, nehmen an zahlreichen Qualitäts-Zertifizierungen teil und unterstützen die Nachhaltigkeitsinitiative der chemischen Industrie. Mit der Zertifizierung nach ISO 14001 weisen wir regelmäßig die kontinuierliche Weiterentwicklung unseres Umweltmanagementsystems und die Verbesserung unserer Umweltleistung nach. Die sorgfältige Auswahl hochwertiger Rohstoffe und deren Beschaffung unter Beachtung strenger Kodizes sind für uns selbstverständlich. Mit der Zertifizierung nach der SCC Checkliste (Sicherheits Certifikat Contraktoren ) stellen wir sicher, dass wir für unsere Kunden und auf Baustellen ein zuverlässiger Partner auch im Bereich Sicherheit, Gesundheit und Umweltschutz sind.
5170246136	2017-01-14T12:30:17Z	Steuler honours its obligation with respect to future generations and uses natural resources responsibly. Our dedication to quality and protecting the environment determine our corporate activities. That’s why we participate in numerous quality certification processes and support the sustainability initiatives of the chemical industry. Our certification according to ISO 14001 and ISO 50001 attests to our ongoing commitment to the further development of our environmental and energy management system. The careful selection of high-quality raw materials in accordance with strict codices is for us a matter of course. With our certification according to the Safety Checklist for Contractors (SCC) we ensure that we are a reliable partner for our customers and on construction sites, also in the fields of health, safety and environmental protection.
5170246136	2017-06-11T16:59:45Z	Steuler steht zu seiner Verpflichtung gegenüber nachfolgenden Generationen und setzt die natürlichen Ressourcen verantwortungsvoll ein. Das Bekenntnis zur Qualität und der Schutz der Umwelt bestimmen unser unternehmerisches Handeln. Deshalb nehmen wir an zahlreichen Qualitäts-Zertifizierungen teil und unterstützen die Nachhaltigkeitsinitiative der chemischen Industrie. Mit den Zertifizierungen nach ISO 14001 und ISO 50001 weisen wir regelmäßig die kontinuierliche Weiterentwicklung unseres Umwelt- und Energiemanagements nach. Die sorgfältige Auswahl hochwertiger Rohstoffe und deren Beschaffung unter Beachtung strenger Kodizes sind für uns selbstverständlich. Mit der Zertifizierung nach der SCC Checkliste (Sicherheits Certifikat Contraktoren ) stellen wir sicher, dass wir für unsere Kunden und auf Baustellen ein zuverlässiger Partner auch im Bereich Sicherheit, Gesundheit und Umweltschutz sind.
2150931053	2017-06-25T23:09:35Z	Huawei wants to reduce emissions from its entire value chain, including its supply chain. As a global producer, Huawei’s supply chain is complex and an 18% reduction in emissions will have a significant impact on the company’s overall carbon footprint.
2150931053	2017-02-04T02:13:22Z	At Maersk Line, we lead the way in ‘doing more with less’. We constantly seek out innovative and commercially viable ways to reduce our environmental impacts, be it CO2 and other air emissions, ballast water, or the materials we use to build our vessels. With the launch of our new 60% CO2 reduction target in 2014, we are accelerating our efforts to reduce our carbon footprint whilst growing our business.
2150931053	2017-02-03T17:49:04Z	Quest II is our latest initiative to maintain cargo quality, and at same time reduce CO2 emissions from our reefer containers. It is new software developed to control the refrigeration system on Maersk Line’s reefers. Quest II is unique to Maersk. Applying Quest II to all Maersk Line existing and new build reefers assist to improve our client's carbon footprint from transportation. It is a simple act with high impact.
2150931053	2017-02-03T17:49:04Z	Maersk Line is on average 5-15% more energy efficient (Clean Cargo Working Group data) than our competitors, therefore shipping with Maersk Line has a lower carbon footprint than shipping with our competitors. This applies to reefer containers as well as all other container types shipped with Maersk Line. For our reefer containers, we have made investments towards innovation of the control systems our reefer containers use, to reduce the energy consumed in order to keep the cargo at the desired temperature (QUEST software).
2150931053	2017-02-04T02:17:02Z	By innovative designs, we have reduced the carbon footprint of our ocean vessels by almost 50 percent. It is difficult to do the same on land but that does not mean we are not trying.
2150931053	2017-02-04T02:17:02Z	For example, we are currently optimizing our train transportation options in order to reduce the number of trucks on the roads, thereby reducing our carbon footprint even more.
2151206380	2017-09-08T12:22:46Z	It is crucial that the Paris agreement remains in place, says Shell’s Chief Climate Change Advisor David Hone. It underpins the need for the ongoing energy transition to also deliver a world of net-zero emissions.
2151206380	2017-12-01T17:36:07Z	Shell updates company strategy and financial outlook, and outlines net carbon footprint ambition.
2151206380	2017-12-01T17:36:07Z	Management Day 2017: Shell updates company strategy and financial outlook, and outlines net carbon footprint ambition
2151206380	2017-03-07T02:11:10Z	Dubai has long been reliant on energy from hydrocarbons. Now a new carbon-neutral housing development will tap into the city’s abundant sunshine, enabling residents to generate their own electricity.
2151206380	2017-05-02T21:01:56Z	ISO 14001
2151206380	2017-04-03T00:53:27Z	AeroShell Oil Sport Plus 4 offers all-year, all-climate protection through its multigrade formulation has a consistent, worldwide formulation that cannot be changed without consultation with major engine manufacturers is designed for engines with integrated gearboxes and overload clutches (for example, BRP-Rotax 912 and 914 Series engines) through advanced additives and synthetic-technology base oils with excellent shear stability works with unleaded aviation and road fuels, and avgas 100LL.
2151206380	2017-01-18T13:57:50Z	We purchase products and services that support our approach to sustainability. For example, we work with suppliers that can build pipelines using non-metallic materials, where appropriate, instead of carbon steel. Non-metallic pipes have a smaller carbon footprint than carbon steel pipes. Transportation and installation are also easier as non-metallic pipes weigh around a quarter less than the equivalent size steel pipe. Shell Shipping also uses a supplier that provides low-friction paint for ship hulls, which makes the ship more fuel efficient.
2151206380	2017-05-10T10:19:55Z	Experience in processing a wide range of hydrocarbon feedstocks.
2151206380	2017-01-30T01:43:58Z	into smaller ones at very high temperatures. Almost any hydrocarbon feedstock can be used in an ethylene cracker. The trick is to design the cracker to take a range of feedstocks so that you can vary the feed according to availability, price and other factors.
