crefo	date	node
3050000108	2010-01-18T20:09:30Z	Seit dem 17.12.2006 sind die Übertragungsnetzbetreiber dazu verpflichtet, die Netzanbindungen der geplanten deutschen Offshore-Windparks bis zur Inbetriebnahme der Offshore-Windparks zu errichten und nach der Errichtung auch zu betreiben. Dieser Aufgabe stellt sich 50Hertz mit hohem Engagement und technischen Know-How im Interesse des Energiemixes der Zukunft und des Klimaschutzes.
3050000108	2010-01-18T20:09:30Z	Mit dem Anschluss der Offshore-Windparkprojekte an das Übertragungsnetz leistet 50Hertz neben den derzeitigen und künftigen windbedingten Netzausbaumaßnahmen auf dem Festland einen weiteren entscheidenden Beitrag für den Klimaschutz.
3050000108	2010-01-18T15:43:59Z	Aus Sicht von 50Hertz ist die Studie der Deutschen Energie-Agentur ein wichtiger erster Schritt für die Integration der Windenergie in den Energie-Mix der Zukunft und damit ein wichtiges Signal für den Klimaschutz.
3050000108	2010-01-18T15:43:59Z	50Hertz ist jedoch zuversichtlich, dass durch einen konstruktiven Dialog aller Beteiligten die für die Entwicklung der zukünftigen Energiewirtschaft wichtige Balance zwischen Sicherheit, Klimaschutz, Wirtschaftsförderung und betriebswirtschaftlicher Effizienz gelingt.
3050000108	2010-01-15T16:58:15Z	Klimaschutz
3050000108	2010-03-22T22:32:39Z	Mit der Anbindung der Offshore-Windparks schafft 50Hertz Offshore GmbH wichtige Voraussetzungen für den Klimaschutz. Das Höchstspannungsnetz an Land und auf See wird dort ausgebaut, wo neue Kapazitäten für den Transport des Stroms aus Erneuerbaren Energien gebraucht werden. Die 50Hertz Transmission GmbH stellt sich dieser Aufgabe mit hohem Engagement und technischem Know-How im Interesse des Energiemixes der Zukunft und des Klimaschutzes. Auch gibt es eine rechtliche Verpflichtung zu dem Netzausbau. Seit dem 17.12.2006 sind die deutschen Übertragungsnetzbetreiber gesetzlich verpflichtet, die Netzanbindungen der geplanten deutschen Offshore-Windparks (OWP) bis zur Inbetriebnahme der Offshore-Windparks zu errichten und nach der Errichtung auch zu betreiben. Diese Verpflichtung gilt seit dem 1.1.2009 für Offshore-Windparks, mit deren Errichtung bis Ende 2015 begonnen wird.
3050000108	2010-01-15T15:34:30Z	Mit dem Anschluss der Windenergieanlagen in der Ostsee leisten 50Hertz und 50HzO einen wichtigen Beitrag zum Klimaschutz. Denn nur mit dem Netzanschluss der Windparks gelangt die CO
3050000108	2010-01-15T14:17:45Z	Technische Innovationen im Dienst des Klimaschutz
3050000108	2010-01-15T16:36:02Z	Die 50Hertz Transmission GmbH stellt sich mit ihrer Tochter 50Hertz Offshore diesen Aufgaben mit hohem Engagement und technischem Know-How im Interesse des Energiemixes der Zukunft und des Klimaschutzes.
3050000108	2010-09-19T18:56:48Z	Klimaschutz / CCS
3050000108	2010-09-11T15:34:28Z	Klimaschutz mit dem Oxyfuel-Prozess
3050000108	2010-09-11T15:34:28Z	Saline Aquifere sind Gesteinsformationen mit einem großen Potential für den weltweiten Klimaschutz.
3050000108	2010-10-28T10:54:36Z	Eishalle Weißwasser (Eisdisco, Freilauf, Eishockey)
3050000108	2010-09-11T15:29:04Z	Beitrag zum Klimaschutz - Vattenfall
